stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
01000053287,bstadja,"Avonmouth, Akeman Way (N-bound)",51.49657,-2.6901,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053287,3
01000053288,bstadtm,"Shirehampton, Burnham Road (NW-bound)",51.48643,-2.68341,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053288,3
01000053305,bstdawg,"Westbury Park, Westbury Road (Stop d)",51.47948,-2.61549,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053305,3
01000053310,bstdgta,"Clifton Down, Apsley Road (Stop SE)",51.46814,-2.61296,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053310,3
01000053312,bstjamg,"Filwood Park, Airport Road (NW-bound)",51.42175,-2.58155,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=01000053312,3
0100053233,bstdmwp,"Canon's Marsh, Gasferry Road (W-bound)",51.45051,-2.60655,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053233,3
0100053234,bstdpat,"Canon's Marsh, Gasferry Road (E-bound)",51.45062,-2.60651,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053234,3
0100053236,bstdamg,"Harbour, Leisure Centre (E-bound)",51.44627,-2.61633,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053236,3
0100053239,bstdpjp,"Harbour, Cumberland Road (E-bound)",51.44666,-2.60214,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053239,3
0100053240,bstdtmj,"Harbour, Gaol Ferry Bridge (NW-bound)",51.44619,-2.59965,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053240,3
0100053241,bstdwdm,"Harbour, Gaol Ferry Bridge (SE-bound)",51.44618,-2.59897,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053241,3
0100053247,bstdtpg,"Bristol City Centre, Park Row (Stop dh)",51.45551,-2.6004,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053247,3
0100053248,bstdwjw,"Kingsdown, Kingsdown Parade (N-bound)",51.46104,-2.59814,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053248,3
0100053249,bstdwmp,"Kingsdown, Kingsdown Parade (S-bound)",51.46123,-2.59791,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053249,3
0100053250,bstdtgw,"Kingsdown, Myrtle Road (N-bound)",51.45974,-2.60112,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053250,3
0100053252,bstdwpa,"Cotham, Cotham Park (N-bound)",51.46587,-2.59775,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053252,3
0100053254,bstdtgj,"Redland, Redland Court Road (N-bound)",51.47087,-2.60138,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053254,3
0100053255,bstdpjm,"Redland, Harcourt Hill (NW-bound)",51.4773,-2.60478,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053255,3
0100053256,bstdptg,"Redland, Harcourt Hill (SE-bound)",51.47685,-2.60381,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053256,3
0100053257,bstdtdm,"Redland, Clare Avenue (NW-bound)",51.47575,-2.60196,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053257,3
0100053258,bstdwaj,"Redland, Clare Avenue (N-bound)",51.4747,-2.59993,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053258,3
